9.20205,0.09,13.34,228.83,0,,1074,1.17,1.16,1
4.0378962,0.04947,15.558,148.42,0.09,,1438,1.19,1,6.9
8.886593,0.0855,13.068,940.74,0.1,,1017,1.02,1.05,
0.85359163,,1.681,4.07661,0,,,0.83,0.82,
3.698,0.046,,8.4,0,,,0.86,0.9,
6.21229,0.063,6.39,69.92,0,,,0.77,0.88,3
95.272656,0.4021,11.949,266.9772,0.133,,420,0.96,0.96,6
6.71837,0.071,6.389,47.6745,,132.26,938,0.79,1.08,
4098.1,5.75,,3823.2733,0,,,,0.51,
246.36,0.36,,9057.77,0.345,,,,0.07,1
,330,,3496,,,,0.27,0.33,0.001
18.57,0.1462,,24.27,0.083,,877,1.26,1.21,2.01
6.584,0.0733,,9.6,0.057,,1239,1.26,1.21,2.01
2.882,0.0422,,3.35,0.07,,1632,1.26,1.21,2.01
5.516,0.0651,,4.13,0.07,,1314,1.26,1.21,2.01
5.2072,0.0664,,138.89171,0.078,,1000,1.78,1.44,2
6.6732,0.0662,,2.58,0.14,,854,0.91,0.87,10.9
10220,8.19,,1922.79,0.39,,,,0.69,
8.138268,,5.7,,0,,850,0.96,1.01,0.045
6.7987,0.0349,1.047,,0,,,0.28,0.29,
28.1656,,1.87,,,,,,0.41,
2.13174,,0.692,,,,,,0.78,
3.80464,,1.22,,,,,,1.07,
2.71578,,1.03,,,,,,0.67,
2.0478,0.0296,0.908,,0,,,0.66,0.73,
3.96151,,1,,,,,,0.61,
4.1698,0.035,1.04,,,,,0.63,0.8,
8.050722,,1.31,,,,961,0.83,0.88,
4.50756,,1.7,,,,,,0.93,
2.87814,,1.01,,,,,,0.22,
5.29711,,1.62,,,,,,0.56,
2.25372,,0.9,,,,,,0.41,
1.58252,,0.96,,,,,,0.71,
21.169861,0.131,1.98,,0.06,3.5,,0.57,0.66,
19.49221,0.1493,5.76,,,,817,1.39,1.17,
2.28943,,1.323,,,,,,0.83,
18.0983,,2.17,,,,,,1.11,
34.885,,1.6,,,,,,0.91,
15.2841,,1.12,,,,,,0.95,
13.603,0.098,2.586,,0.2,,536,0.67,0.69,
65.55,0.28,2.69,,0.2,,316,0.67,0.69,
0.70531,,1.48,,,,,,0.94,
0.571331,0.0134,1.82,,,,2119,0.98,0.97,
13.339079,0.1091,2.73,,,,741,0.98,0.97,
12.4551225,0.1016,8.676,82.6358,0.0697,45.7,650,0.82,0.9,1.8
6.180235,0.07229,11.781,953.49,,642,1401,1.59,1.32,3.02
3650,4.5,12.442,4131.79,0,0.19,183,2.7,0.9,
3.5951,0.047,1.95,8.75,0.06,1037,1616,1.71,1.05,9
15.624,0.13,3.67,14.67,0.07,160,990,1.71,1.05,9
35.747,0.22,3.94,10.18,0.15,53,752,1.71,1.05,9
,800,,5085.28,,,2375,,0.05,0.001
5.746007,0.0385,2.025,,0,7.2,456,0.31,0.29,9.9
3.204,0.021,,1.37,0.31,3.8,,0.16,0.12,7
6.689,0.035,,1.74,0.29,1.4,,0.16,0.12,7
13.031,0.054,,1.64,0.53,0.6,,0.16,0.12,7
1.628931,0.0153,1.13,1.66,0.22,,529,0.21,0.18,
8.929,0.0476,,2.64,0.27,,300,0.21,0.18,
41.38,0.166,,96.7,0.38,,,0.36,0.34,
532.58,0.912,,68.06,0.342,,,0.36,0.34,
1.58040456,0.01411,2.847,6.26125,,,,0.22,0.15,
0.5182349,0.00916,1.193,2.09,0,,1089,0.39,0.38,
3.6511,0.026,,7.4,0.04,,,0.19,0.18,
35.61253,0.1915,2.61,22.7,0.188,,422,0.69,0.73,3.8
11.4407,0.072,,3.03,0.094,,,0.38,0.38,
7600,5.4,,36,0.27,,,0.38,0.38,
5.2354,0.053,,10.2,0.06,,,,0.69,
8.63182,0.0607,,10.6,0.073,,,,,
25.63058,0.1254,,6.8,0.099,,,,,
603.95116,1.0304,,29.4,0.373,,,,,
2288,2.41,,260.61,0.21,,,0.38,0.36,
17.133,0.092,,6.49,0.07,,,,0.43,
24.329,0.129,,6.4,0.09,,,,0.43,
106.3,0.309,,7.56,0.14,,,,0.43,
69.971,0.283,,16.2,0.72,,,,0.62,
121.995,0.339,,7.268,0.19,,,,0.58,
526.115,0.898,,8.478,0.1,,,,0.58,
15.819,0.101,,13,0.08,,,,0.53,
18.6498,0.091101,,2.89,0.1,1.06,,0.29,0.29,
4.7234,0.036467,,1.18,0.17,6.66,,0.29,0.29,
133.71,0.49,,1071.04,0.511,,350,0.9,0.9,
11.949,0.079,,8.2,0.22,,,,0.47,
1.22003,0.0197,,1.78,0.19,118.1,,0.5,0.68,
5.974,0.057,,4.18,0.11,13.9,,0.5,0.68,
257.8,0.698,,10.5,0.32,0.1,,0.5,0.68,
695.66,1.151,,557.1,0.07,,,,0.42,
